time (s),pulsewidth (us),force (lb)
2.064,1702,2.00
2.066,1701,1.64
2.068,1701,2.28
2.070,1701,1.86
2.072,1701,1.78
2.074,1701,1.71
2.076,1701,1.71
2.078,1701,2.21
2.080,1701,2.36
2.082,1701,2.14
2.084,1701,1.71
2.086,1701,1.71
2.088,1701,2.14
2.090,1700,1.78
2.092,1700,2.28
2.094,1700,1.64
2.096,1700,1.78
2.098,1700,1.78
2.100,1700,2.07
2.102,1700,2.43
2.104,1700,1.86
2.106,1700,2.21
2.108,1700,1.64
2.110,1700,2.07
2.112,1700,2.07
2.114,1700,2.00
2.116,1700,2.07
2.118,1700,1.64
2.120,1700,1.86
2.122,1700,2.07
2.124,1700,2.14
2.126,1700,2.36
2.128,1700,1.93
2.130,1700,2.07
2.132,1700,1.86
2.134,1700,2.36
2.136,1700,2.07
2.138,1700,1.93
2.140,1700,1.86
2.142,1700,1.71
2.144,1700,1.86
2.146,1700,2.21
2.148,1700,2.07
2.150,1700,2.14
2.152,1700,2.00
2.154,1701,2.28
2.156,1701,2.00
2.158,1701,2.36
2.160,1701,2.07
2.162,1701,1.86
2.164,1701,2.00
2.166,1701,1.86
2.168,1701,2.00
2.170,1701,2.07
2.172,1701,2.00
2.174,1701,2.36
2.176,1702,1.93
2.178,1702,2.36
2.180,1702,1.86
2.182,1702,2.36
2.184,1702,1.93
2.186,1702,2.00
2.188,1702,2.28
2.190,1702,1.78
2.192,1703,2.07
2.194,1703,2.07
2.196,1703,2.14
2.198,1703,2.50
2.200,1703,2.14
2.202,1703,2.14
2.204,1703,1.64
2.206,1704,2.28
2.208,1704,2.07
2.210,1704,2.00
2.212,1704,2.07
2.214,1704,1.71
2.216,1705,2.00
2.218,1705,2.14
2.220,1705,2.50
2.222,1705,2.43
2.224,1705,2.07
2.226,1706,2.07
2.228,1706,1.86
2.230,1706,2.36
2.232,1706,2.07
2.234,1706,1.93
2.236,1707,1.86
2.238,1707,1.71
2.240,1707,2.07
2.242,1707,2.43
2.244,1708,2.43
2.246,1708,2.28
2.248,1708,2.00
2.250,1708,1.86
2.252,1709,2.14
2.254,1709,2.28
2.256,1709,1.86
2.258,1710,1.86
2.260,1710,1.78
2.262,1710,2.00
2.264,1710,2.43
2.266,1711,2.43
2.268,1711,2.21
2.270,1711,2.21
2.272,1712,2.07
2.274,1712,2.00
2.276,1712,2.36
2.278,1712,2.14
2.280,1713,1.78
2.282,1713,2.00
2.284,1713,1.78
2.286,1714,2.14
2.288,1714,2.50
2.290,1714,2.28
2.292,1715,2.36
2.294,1715,2.28
2.296,1715,2.28
2.298,1716,2.14
2.300,1716,2.57
2.302,1717,2.07
2.304,1717,2.14
2.306,1717,2.28
2.308,1718,2.00
2.310,1718,2.50
2.312,1718,2.14
2.314,1719,2.21
2.316,1719,2.43
2.318,1719,2.36
2.320,1720,2.14
2.322,1720,2.28
2.324,1721,2.21
2.326,1721,1.86
2.328,1721,2.36
2.330,1722,2.07
2.332,1722,2.43
2.334,1723,2.43
2.336,1723,2.21
2.338,1723,2.36
2.340,1724,2.57
2.342,1724,2.28
2.344,1725,2.36
2.346,1725,2.36
2.348,1726,2.07
2.350,1726,2.36
2.352,1726,2.36
2.354,1727,2.28
2.356,1727,2.43
2.358,1728,2.14
2.360,1728,2.28
2.362,1729,2.86
2.364,1729,2.50
2.366,1730,2.43
2.368,1730,2.57
2.370,1730,2.00
2.372,1731,2.21
2.374,1731,2.50
2.376,1732,2.36
2.378,1732,2.50
2.380,1733,2.14
2.382,1733,2.21
2.384,1734,2.86
2.386,1734,2.57
2.388,1735,2.50
2.390,1735,2.71
2.392,1736,2.14
2.394,1736,2.28
2.396,1737,2.78
2.398,1737,2.64
2.400,1738,2.64
2.402,1738,2.43
2.404,1739,2.21
2.406,1739,2.71
2.408,1740,2.64
2.410,1740,2.57
2.412,1741,2.71
2.414,1741,2.21
2.416,1742,2.14
2.418,1742,2.86
2.420,1743,3.00
2.422,1743,3.00
2.424,1744,2.43
2.426,1744,2.28
2.428,1745,2.64
2.430,1745,2.71
2.432,1746,3.00
2.434,1746,2.86
2.436,1747,2.28
2.438,1747,2.14
2.440,1748,2.78
2.442,1748,3.21
2.444,1749,3.07
2.446,1749,2.57
2.448,1750,2.50
2.450,1750,2.57
2.452,1751,3.00
2.454,1751,3.28
2.456,1752,2.78
2.458,1752,2.43
2.460,1753,2.21
2.462,1753,2.78
2.464,1754,3.50
2.466,1754,2.93
2.468,1755,2.71
2.470,1755,2.50
2.472,1756,2.43
2.474,1756,3.28
2.476,1757,3.28
2.478,1757,3.21
2.480,1758,2.50
2.482,1758,2.43
2.484,1759,2.86
2.486,1759,3.43
2.488,1760,3.07
2.490,1760,3.00
2.492,1761,2.14
2.494,1761,2.86
2.496,1762,3.21
2.498,1762,3.28
2.500,1763,2.93
2.502,1763,2.71
2.504,1764,2.78
2.506,1764,3.14
2.508,1765,3.28
2.510,1765,3.21
2.512,1766,2.78
2.514,1766,2.71
2.516,1767,2.93
2.518,1767,3.21
2.520,1768,3.21
2.522,1768,3.21
2.524,1769,3.00
2.526,1769,2.93
2.528,1770,3.21
2.530,1770,3.35
2.532,1771,3.28
